beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,n_draws_attempted
0.16126873279971693,0.08460845723620167,0.410934384122304,0.768608731611463,0.6410000000000001,10.062,0.34862466162570843,9.2,760.8,0.9750390015600623,10000
0.25427762310242663,0.06979745011456685,0.49677299535422714,0.8465809663046454,0.755,13.011999999999997,0.376873420179047,6.6,657.8,1.0887417218543047,10000
0.1730799624184648,0.0728124907025604,0.34031348507077763,0.40043657185130666,0.6900000000000001,12.738,0.4045056131246554,9.2,611.2,0.8188405797101449,10000
0.15806500043342392,0.07255569117319498,0.3482685508177594,0.41270836679531064,0.701,13.172,0.39438555053152236,9.0,625.4,0.8530670470756063,10000
0.20614795433648572,0.0668506249940371,0.36262184509005446,0.7722124408371577,0.778,14.203999999999999,0.38654407028392257,6.8,548.8,0.879177377892031,10000
0.156174343361524,0.08285356235722172,0.26938817998739434,0.3230843334214622,0.658,10.829999999999998,0.36342602847668265,8.2,459.2,0.7112462006079027,10000
0.2268931316037766,0.08914784399329417,0.4042637521630151,0.4750406467617724,0.672,10.472999999999997,0.3794507711812867,7.2,580.4,0.9851190476190477,10000
0.20276750351894615,0.13313144330467533,0.26477791262797007,0.9088893202787578,0.5720000000000001,6.864,0.38223688745587336,7.0,366.2,0.722027972027972,10000
0.1831757316263302,0.10522051055660692,0.25108422413830056,0.7813536431487264,0.651,8.690000000000001,0.40851585115451544,6.8,393.0,0.6635944700460829,10000
0.23785627954370991,0.10373244975072861,0.40899808366352686,0.527109519320742,0.664,8.889,0.3607382115683168,7.0,533.0,0.8810240963855421,10000
0.1858301274815294,0.10951882916841876,0.3274748247374885,0.4570965951718203,0.6020000000000001,8.169,0.3746572060195138,8.0,502.0,0.7940199335548171,10000
0.11373296024664525,0.058984809979900396,0.19439540291522867,0.694809254110808,0.7000000000000001,16.142999999999997,0.37684592987307886,9.8,430.0,0.5471428571428572,10000
0.22975065237074865,0.08840169626474012,0.3590832898576644,0.6722789851089785,0.712,9.979,0.4104479528156409,6.8,467.4,0.7752808988764045,10000
0.16602228365524643,0.09903300874627309,0.36563167443792166,0.43398492396971067,0.619,9.155999999999997,0.35991122436531964,9.0,625.4,0.9192245557350566,10000
0.19231266358541,0.0878759854728954,0.42019345146626175,0.6394452167977764,0.664,9.919999999999998,0.3798890680870125,8.0,696.0,1.1069277108433735,10000
0.18604812770417842,0.14015326608134174,0.3490456120549583,0.9008786754672503,0.52,6.061999999999999,0.33655406653138564,8.0,522.8,0.9596153846153845,10000
0.23922032839176974,0.10351665926246408,0.399609177588418,0.5869882364673016,0.627,8.358,0.35945865672874494,7.0,530.4,0.9393939393939393,10000
0.25460571447121927,0.07367269540901414,0.3455951878226933,0.8796694390212748,0.763,12.788999999999998,0.3663650528053429,6.0,448.4,0.8099606815203145,10000
0.1492431492979374,0.10902528706604539,0.22233665082553866,0.7591060784402252,0.5569999999999999,8.154,0.3623420833774092,9.0,380.0,0.6427289048473968,10000
0.2159374827119495,0.091970913722459,0.29332613191215406,0.6799431606311304,0.696,9.976999999999999,0.38550441069976593,6.8,408.8,0.7126436781609197,10000
0.16571422601067232,0.11607829527221741,0.3370275205394919,0.5068484558969055,0.587,7.723000000000001,0.3653929026079192,8.2,548.6,0.858603066439523,10000
0.17713684323529516,0.07248388356682524,0.36504000025738004,0.485024406327937,0.7020000000000001,13.201999999999998,0.4041166811133238,7.8,597.8,0.9031339031339031,10000
0.17710733380194735,0.06007482885359582,0.38425947825816453,0.6982639505245648,0.758,15.389999999999997,0.3940084584982616,8.4,646.4,0.8720316622691292,10000
0.18401715372459143,0.10928666389555258,0.24873856894038246,0.850268647109864,0.631,8.456,0.3918983037365198,6.6,362.6,0.6513470681458003,10000
0.3173843761029395,0.08045857296394535,0.5160845480090497,0.845295248417292,0.7360000000000001,11.493999999999996,0.3811267820284238,6.0,592.0,1.1019021739130432,10000
0.21895493517970951,0.0920439808083951,0.3996543023579744,0.47089373237888393,0.6719999999999999,9.833999999999998,0.3824236468660366,7.2,583.0,0.930059523809524,10000
0.17093010428804328,0.0883764132621849,0.3555706051550999,0.2867918898102474,0.641,10.545999999999998,0.3832911485296584,8.2,591.0,0.9110764430577224,10000
0.21241851825053043,0.08830949208042098,0.3131691285131595,0.6159376537495993,0.708,10.849,0.38548814901671197,6.8,448.4,0.8135593220338984,10000
0.17778798143633467,0.06353910733240627,0.42026763631578484,0.6958409438047345,0.748,14.084999999999997,0.3927280824652194,8.4,687.4,0.9385026737967915,10000
0.25311181506813535,0.08260287971030578,0.34748232337614327,0.8903674833429951,0.7730000000000001,11.947,0.37323147238781185,6.0,450.8,0.834411384217335,10000
0.26324143344844664,0.08443361540749318,0.4360229172939522,0.6695610148070946,0.71,10.640999999999998,0.3706585615742434,6.4,550.2,0.9943661971830985,10000
0.12997087690376796,0.09973766350186206,0.2178743777326294,0.6051952888747891,0.58,9.136999999999999,0.40137028484119874,9.4,432.2,0.6551724137931035,10000
0.21958901429946473,0.12159400064829215,0.45124189741150655,0.8752428047012347,0.5559999999999999,7.234,0.35179990047964294,8.2,690.4,1.131294964028777,10000
0.2285836676070786,0.07764171730465558,0.48535666382257453,0.6810305830030073,0.683,11.861999999999998,0.3590361667131442,7.8,708.4,1.0878477306002925,10000
0.21075930245616198,0.07997683725866116,0.48446583407045146,0.8650365831968679,0.6910000000000001,11.315,0.37609941589815554,7.8,773.2,1.154848046309696,10000
0.14146644431706604,0.09431987491764593,0.28140605454905093,0.4674808631159652,0.573,9.585999999999999,0.3618528778138673,9.6,554.8,0.7626527050610821,10000
0.23256509426858743,0.09633623134394784,0.5206434535065521,0.8624066776378012,0.6319999999999999,9.087,0.35294857227234777,7.6,736.2,1.204113924050633,10000
0.1659963967719675,0.10223878864910597,0.251756601899322,0.6382725615401865,0.633,8.693999999999999,0.37639862093903764,7.6,393.0,0.5939968404423381,10000
0.20636929934785603,0.10241712550161115,0.489054482528522,0.9043935024610087,0.628,8.876,0.33375128390059217,8.0,765.8,1.0732484076433122,10000
0.22719730666604673,0.0691108966378222,0.4825350954375647,0.9066090712849446,0.764,14.488999999999999,0.40146349292661165,7.8,724.4,1.0680628272251307,10000
0.23157764293824104,0.059376347287818314,0.38774725054305315,0.905990188990307,0.766,14.966999999999999,0.3769707187253934,6.0,513.6,0.8981723237597912,10000
0.11825335557238553,0.06254187319836564,0.30654123566070607,0.7624455036612866,0.661,14.523999999999997,0.3501664462754806,11.0,665.4,0.7231467473524961,10000
0.18016656377524576,0.1143117693847015,0.28942452567905347,0.6869097920790366,0.597,7.991,0.40482444907167736,7.6,420.4,0.7437185929648241,10000
0.1570634265055154,0.07625902695296347,0.3596338541316305,0.44756797641803764,0.659,11.947,0.36436461329566844,8.8,679.8,0.857359635811836,10000
0.12875980995552194,0.10305893440850113,0.2565851084381067,0.7134800567184052,0.539,8.308,0.3378279740796229,9.4,490.4,0.6846011131725417,10000
0.24147352689692642,0.07111578069460762,0.38967663909400196,0.6561369381791238,0.734,13.244999999999996,0.39483516633991284,6.8,530.4,0.927792915531335,10000
0.14189941523680197,0.054394662002521306,0.355716702237337,0.8956922700836835,0.7390000000000001,17.256,0.3704112682716466,10.2,697.0,0.7902571041948578,10000
0.19451625295496983,0.12684710012005684,0.3091819058184414,0.7801762136780599,0.5359999999999999,6.8069999999999995,0.3778145241994342,8.0,441.8,0.7742537313432837,10000
0.22158642691548391,0.0851400131290545,0.27153610063033223,0.797096631730524,0.6980000000000001,10.643999999999998,0.38298395684935627,6.8,353.6,0.634670487106017,10000
0.2564941086948226,0.07823486269224714,0.34258236199465925,0.8826682957513952,0.741,12.352999999999998,0.36812295877392603,5.8,440.4,0.8663967611336033,10000
0.29192865645240346,0.08577678099215853,0.42083248621793246,0.797907732413163,0.7310000000000001,10.226999999999999,0.3779799692415725,6.0,512.2,0.9972640218878248,10000
0.1640151269640336,0.14106635932124945,0.31786601112501733,0.8574000586917558,0.5309999999999999,6.047,0.3292695230626787,8.6,512.8,0.7909604519774012,10000
0.1761171729901998,0.10308027240539536,0.22820402951408525,0.781185071484399,0.631,8.368,0.3794992035716389,7.4,347.0,0.6085578446909666,10000
0.15720113438096486,0.10717880022931246,0.20466940515813922,0.8501904104145565,0.5730000000000001,7.955999999999999,0.35987225945022777,7.6,351.6,0.6055846422338569,10000
0.2128531540632498,0.06553424013851435,0.3261875353618782,0.7680029922051074,0.75,13.873999999999999,0.3960337626511666,6.6,462.4,0.752,10000
0.1852902911106264,0.11082927101941861,0.34229622941657384,0.7075045786665299,0.5469999999999999,7.628,0.3426523612028519,8.0,541.4,0.9195612431444241,10000
0.15634741498879878,0.06370203674390935,0.3861631754101512,0.6772147657462096,0.723,15.262,0.3858530054661514,9.0,688.6,0.9031811894882434,10000
0.23250691499214998,0.09210553443865915,0.4737482333990949,0.7103368259615561,0.701,10.473999999999998,0.3508261326704435,7.4,699.6,1.0228245363766049,10000
0.11936378390503256,0.09260777931019007,0.1858637032002169,0.7447153393890857,0.601,10.005999999999998,0.3674829376680355,10.4,385.4,0.4941763727121465,10000
0.21221542731083348,0.09709162192582294,0.30009905982497653,0.7637595493960397,0.7070000000000001,9.446000000000002,0.37935882304119684,6.4,412.2,0.7708628005657708,10000
0.19196913314024924,0.08791672638606833,0.3133566681646196,0.43611419337617346,0.6950000000000001,10.626999999999999,0.3928188337915361,7.4,493.2,0.7741007194244603,10000
0.1820323830082097,0.08908777882041859,0.22631506429918202,0.8876785995468218,0.703,10.743999999999996,0.41815706825770205,7.2,335.0,0.5561877667140825,10000
0.1967582525266799,0.05994140469632281,0.44780222288836136,0.8415975513844433,0.7430000000000001,14.444999999999999,0.3679172752217081,8.0,745.6,0.9838492597577386,10000
0.15746306342503236,0.0516063982984367,0.31576518377888024,0.7703537880576831,0.7550000000000001,17.285,0.4063937742543214,9.2,562.4,0.7271523178807946,10000
0.173332420253806,0.06956000189366887,0.395161380899114,0.6648229374764629,0.702,12.642999999999997,0.36852661292754063,9.8,721.2,0.8888888888888891,10000
0.27706936143814304,0.09411696799408344,0.3827124843438873,0.9033381988523147,0.7430000000000001,10.359999999999998,0.34904238760342376,5.8,451.6,0.8802153432032301,10000
0.2841958398292337,0.0912431046771088,0.4213603069188639,0.8420975714925629,0.714,10.127999999999997,0.33428816025571084,6.0,526.6,0.9859943977591038,10000
0.20087599214906113,0.0663201995391439,0.4209220897225467,0.6590087137518412,0.728,14.747,0.38482879008825666,8.4,675.0,0.9848901098901099,10000
0.23683590071805552,0.06923797374923993,0.39058588633292884,0.6697786401440757,0.7630000000000001,13.205999999999994,0.3795693875436491,7.0,494.8,0.8086500655307994,10000
0.15443116579744412,0.0662893609140974,0.39269882499233044,0.7581825490412873,0.6950000000000001,13.982999999999999,0.3640988402698099,9.6,752.6,0.8676258992805755,10000
0.29334591144426,0.08733432021748741,0.4956723480372133,0.8660324828262305,0.7190000000000001,10.100999999999999,0.3529195669938442,6.0,592.0,1.1404728789986092,10000
0.24070959546060436,0.11662505373694548,0.3606013280052196,0.7208789689976185,0.625,7.563,0.3749654985740709,6.6,458.0,0.8576,10000
