beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,s_var_degree,n_draws_attempted
0.133279587980532,0.06735370180499739,0.27428079762826174,0.7764299045845477,0.687,14.191999999999998,0.38184557060307667,9.4,552.6,0.6652110625909753,9.495239999999999,50000
0.24885933556737774,0.09321412678927089,0.3892189827873548,0.7936964841157009,0.689,10.180999999999997,0.3914256065527528,6.8,526.0,0.9042089985486212,9.46442,50000
0.17940713420037407,0.09486422990867417,0.3373307175708285,0.36556881084672077,0.622,9.482999999999999,0.3742316341043278,8.2,551.2,0.8440514469453376,10.61382,50000
0.2253955517695949,0.0894358524059016,0.40279002262753133,0.7295751741282138,0.69,10.299999999999999,0.3770723886535125,6.6,555.0,0.9840579710144929,10.6465,50000
0.23920908500366025,0.06683419877564194,0.4129689766408251,0.8696230765884333,0.751,13.132,0.3787169679433916,6.2,526.4,0.9733688415446072,10.246759999999998,50000
0.13579948129295075,0.08451957121969163,0.21974993643108265,0.845432472626448,0.625,10.952999999999998,0.36304749453176544,10.4,438.0,0.5616,9.576500000000001,50000
0.100096959346244,0.06720276636878048,0.18495319904410198,0.7673414546425521,0.658,13.935999999999998,0.360899247345073,9.8,421.0,0.5,9.70554,50000
0.1422913971361037,0.09641233061583784,0.2936857856448111,0.4544369888006339,0.598,9.411999999999999,0.34769919372444075,10.0,550.0,0.7491638795986622,10.7559,50000
0.24257635459325882,0.07518949773276487,0.34295866728583413,0.7737522270761524,0.7260000000000001,11.508999999999997,0.3624756467494057,6.6,433.2,0.7479338842975205,9.869899999999998,50000
0.17031732785421388,0.09372506425024317,0.270878915442535,0.6149146462031351,0.632,9.747,0.37057036962180867,7.6,438.0,0.670886075949367,9.45728,50000
0.15709535862344715,0.10011031787227827,0.35354701538281214,0.487723554615775,0.616,8.935999999999998,0.3719100456456133,8.8,639.6,0.9448051948051949,11.253879999999999,50000
0.15363702743872443,0.11616194930911788,0.24354894707337085,0.7660700072457352,0.571,7.75,0.35666321205976825,9.2,422.8,0.6374781085814362,10.42174,50000
0.23793082902057955,0.08776196673804541,0.309952403804465,0.700333792080037,0.673,9.857999999999999,0.36206713811544217,6.2,397.8,0.738484398216939,9.67012,50000
0.14765631887271377,0.09950982555098778,0.31074400953383513,0.5928801529354398,0.584,8.718,0.34919032461747385,8.6,547.6,0.809931506849315,10.92764,50000
0.14610771391677121,0.06476486045305599,0.3532390854483701,0.7048100677599893,0.6990000000000001,14.698000000000002,0.35733107468153535,9.8,681.4,0.8125894134477825,10.96314,50000
0.24093563171375443,0.10476182436477327,0.381283797232258,0.6173252472519442,0.623,8.600999999999999,0.35651794792758956,6.8,492.6,0.9582664526484752,10.42274,50000
0.19592246685464612,0.10212776367859486,0.2796687955659897,0.6624718028235834,0.632,9.193,0.3736941309460609,7.4,412.4,0.7151898734177216,9.1893,50000
0.11464719337295716,0.0751396912671878,0.23226298894155778,0.8418267222597017,0.626,12.084999999999999,0.37138527366639323,11.0,495.4,0.5926517571884984,9.93132,50000
0.14750778657281793,0.09878730757976013,0.31856670348708155,0.816452333520688,0.582,8.644,0.31793727919446735,10.4,560.4,0.7628865979381444,11.21106,50000
0.20863264594797698,0.12861219429836734,0.3737293412592956,0.869865772213983,0.5770000000000001,6.486,0.37220455715895245,7.4,547.6,1.0311958405545925,11.142660000000001,50000
0.1446855110024512,0.06087413382412949,0.34201862092349034,0.8137395696182301,0.742,15.863,0.37408690677812223,9.6,665.8,0.8153638814016172,10.9666,50000
0.210358385653954,0.0924167286581782,0.35471327762448573,0.745800402725324,0.664,9.866,0.35755284734266946,7.4,529.8,0.8463855421686747,10.97972,50000
0.15666153142172579,0.06579857684027221,0.3341816306756149,0.6170108639238121,0.709,14.256999999999996,0.3566554791353737,9.4,595.0,0.7165021156558533,10.636759999999999,50000
0.13511175270522513,0.06842266580068045,0.3180432106894143,0.7016934031459136,0.679,13.720999999999998,0.35685977341635106,9.8,610.4,0.6759941089837996,11.25126,50000
0.2153754102518815,0.10368058131585899,0.4688496655114241,0.7944920429288124,0.622,8.597999999999999,0.3364917329106585,9.0,713.2,1.0594855305466238,11.56248,50000
0.16117409038731728,0.0632693626484915,0.2984729391824232,0.650715545700525,0.7420000000000001,15.412999999999997,0.39612702580887876,9.0,544.2,0.6913746630727761,9.89554,50000
0.14284652797651756,0.06916239139450278,0.3087198616849324,0.8582852267494486,0.7049999999999998,13.700999999999999,0.3980858106452897,9.0,600.6,0.7673758865248229,11.22188,50000
0.17621092147471992,0.08541961382498624,0.18897494363936718,0.7769967974399828,0.6950000000000001,11.166999999999998,0.38977363661568737,7.0,310.4,0.5266187050359712,8.6806,50000
0.22447474270890178,0.11074169044527808,0.4074824640603552,0.7595918782341171,0.628,7.742,0.391735753912509,7.4,573.2,1.0398089171974523,10.504980000000002,50000
