beta,gamma,rho,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,s_var_degree,distance
0.3982802218501835,0.0989981191553694,0.686878335929106,0.722,9.079999999999998,0.2891842023817513,5.8,779.6,1.4750692520775623,13.56694,1.9187761176965328
0.4641426026923692,0.1623177030709129,0.5587000761407562,0.629,5.216,0.2352493314774863,4.6,498.2,1.3656597774244834,10.70602,1.8116374936073374
0.2299780073361361,0.0629885365903956,0.0123469308971487,0.781,14.383,0.3852992814902555,5.6,13.4,0.0384122919334186,9.32272,2.0875024831959457
0.4156907052600931,0.123912323694013,0.2089946827088096,0.71,7.031999999999999,0.216569625458504,4.0,159.8,0.4943661971830986,8.80642,2.2953140426864858
0.473959436041162,0.08460547265782,0.6252386361293631,0.767,10.942,0.2806123480649637,5.0,603.8,1.3481095176010431,10.75182,1.4644138827806388
0.0543710743518363,0.1892661646747739,0.7733609069883055,0.034,0.217,-0.3644741863549394,0.8,62.8,7.058823529411764,12.24828,9.782672689812548
0.1117458436849363,0.1901812489217457,0.1922262126304594,0.27,3.804,0.2395226057421923,12.0,370.0,0.7481481481481481,10.46158,2.3654483297219064
0.4723988947285171,0.1699717679923369,0.0705132320370579,0.6559999999999999,4.83,0.1326326531499023,3.4,44.4,0.1722560975609756,9.42116,3.0600611824954864
0.4195527618981727,0.1405359555224732,0.398574009141924,0.6769999999999999,5.948,0.2145793083288077,4.2,331.4,0.9217134416543576,9.2988,2.0143857959717604
0.0533587083574115,0.0368191278647648,0.1053265409804224,0.666,25.915000000000003,0.2275585976064253,21.4,445.4,0.2942942942942942,9.93876,3.6673522375021066
0.4933733534639349,0.1815512534832787,0.7172621340556831,0.515,4.66,0.2407326413537452,5.4,719.4,1.7262135922330095,12.80774,2.21478103117364
0.3992479193003312,0.0726731307968281,0.7117958504981895,0.7849999999999999,12.727,0.3191414225318448,6.2,837.6,1.424203821656051,12.03682,1.6194369586982023
0.3606235676802864,0.1331483028904465,0.2230891355382307,0.6859999999999999,6.238,0.2896847353652406,4.2,177.8,0.5131195335276969,8.832380000000002,1.9278947860484865
0.4533671930636464,0.1069119211485093,0.4553015344627044,0.736,8.127999999999998,0.2369488197564535,4.0,411.0,1.0815217391304348,9.8181,1.8166043429388423
0.3265170012979905,0.0329508207781445,0.1389401698602029,0.907,29.72600000000001,0.3063323554318978,4.4,129.8,0.3076074972436604,9.56284,2.788224213190772
0.1974578106585609,0.1128824804311102,0.4068275148318331,0.577,8.088,0.357623680421092,7.4,638.2,1.0155979202772965,10.98594,0.7531578981529203
0.3857267232992182,0.0559345374135786,0.4927745732067742,0.8530000000000001,17.465999999999998,0.3200007404846355,5.0,493.2,1.1031652989449,11.28012,1.546187090658641
0.4472483424481392,0.0794313078042315,0.6651160734423947,0.798,11.878,0.2427153595284596,4.6,634.0,1.426065162907268,10.908219999999998,1.8108115265445621
0.4404069383101565,0.0735536957256404,0.6916187946523958,0.787,12.659,0.3251635077803981,5.6,747.8,1.3951715374841167,11.9381,1.506918399976873
0.4652237322342578,0.1955656043365851,0.646375254041284,0.474,4.1530000000000005,0.2376756384594489,5.2,639.2,1.7383966244725737,12.68034,2.256797575686273
0.0897004658098468,0.1672225892991584,0.2503637521294829,0.222,3.945,0.2156234164144489,12.8,538.6,1.0135135135135134,12.16242,2.719311931228384
0.065123892019137,0.1072870688296437,0.2735915869942145,0.186,5.803,0.1452537671856185,30.4,767.4,1.1236559139784943,15.82476,6.390323725279659
0.4322627191563661,0.0583458083057675,0.2665304881443021,0.837,16.009999999999998,0.2688719886942857,4.0,215.2,0.5913978494623656,8.57366,2.117227540392202
0.4595659752583261,0.1720810179598356,0.2253643991806744,0.64,4.76,0.1396083071825928,3.6,159.4,0.5359375,8.842979999999999,2.813798943299424
0.3873011626932786,0.0795544202243756,0.1563581173297351,0.7889999999999999,11.402999999999995,0.2393737182254081,4.0,139.2,0.4055766793409379,9.11586,2.22516370559501
0.4965703472082508,0.1010004111830295,0.3429589000730528,0.765,9.161,0.1896664591990395,3.8,257.0,0.8209150326797385,9.41096,2.280804529343887
0.3338137729613291,0.1933456585062874,0.4515434105666815,0.5,4.142,0.2512201901343647,5.2,472.2,1.232,10.887220000000005,1.7817908071559814
0.2253370342354621,0.0485258703012301,0.055472055763749,0.841,19.238,0.4100409852655958,5.6,65.2,0.1367419738406659,8.83606,2.192497463758133
0.3216302375029876,0.0230273501690856,0.7457030715368074,0.909,40.949,0.3923617208732516,7.6,1052.4,1.4785478547854785,14.67562,3.896478927816096
0.2043823693328092,0.0954970652215475,0.2563384729438386,0.663,9.082999999999998,0.3728452245262453,6.4,364.4,0.6500754147812972,10.2342,0.8415607780893755
0.3330526077563434,0.0533444809758411,0.2969746393293602,0.857,17.103,0.33293285373354,5.2,295.2,0.6499416569428238,9.4324,1.628767667483206
0.3084376415085242,0.1015617576932265,0.0091284242627954,0.744,8.666999999999998,0.2695708273158675,4.2,9.6,0.0282258064516129,9.11306,2.4041340249299123
0.3834578273420441,0.1764605475459105,0.5844052169928445,0.557,4.630000000000001,0.270713904333115,5.6,600.8,1.4506283662477557,11.29088,1.6351678832959229
0.4942291770394418,0.0200299312801504,0.6199795301984673,0.947,47.004999999999995,0.2614907251711929,4.2,594.4,1.280887011615628,10.988360000000002,4.022081656082039
0.1609911946521149,0.1308834979530276,0.153071456217557,0.561,6.634,0.3973925171011963,7.4,237.8,0.4527629233511585,9.99782,1.2456317902212686
0.2695095554470278,0.0201618053681893,0.5667473657041796,0.921,48.510000000000005,0.4143238190809165,7.0,778.0,1.1140065146579805,12.23492,3.9804949392830338
0.363385797687198,0.1936359427368869,0.2460392197340751,0.579,4.143,0.2262436857997308,4.2,201.2,0.6321243523316062,8.7678,2.233761430468653
0.2362776892796423,0.0688484460719899,0.5289926139592828,0.7430000000000001,13.996,0.3550829631863829,7.2,778.4,1.1938088829071332,11.16482,1.0932621248024421
0.1630997327384498,0.173232383387047,0.571438031979408,0.1359999999999999,2.181,0.0727753124695896,8.0,553.2,2.485294117647059,18.41632,4.955501107382807
0.4690897745432769,0.0545313309533952,0.187817264362688,0.881,17.401,0.2266228972700162,3.8,133.4,0.4040862656072645,9.22446,2.5084640180937505
0.0933753670085518,0.1549733723976042,0.1343996501878625,0.327,4.904999999999999,0.2679226520510359,11.4,296.4,0.5626911314984708,10.25712,2.0761956121892924
0.2789070460335766,0.1045640604166992,0.2593481645830963,0.6990000000000001,8.306000000000001,0.341517005673522,5.0,275.0,0.5851216022889842,9.99256,1.339406954302122
0.3211348895244558,0.1070786398881607,0.4933443196943797,0.694,8.270999999999997,0.3565628570571069,5.8,558.8,1.0720461095100866,10.76792,0.8910746449930615
0.3039964473631659,0.1160774239558141,0.729307657147912,0.599,8.177999999999999,0.2564838807861146,8.6,1045.2,1.6043405676126878,15.3501,2.7925478196606397
0.205806935074136,0.1641392552029141,0.7965007897020784,0.106,1.0820000000000003,-0.0182097394763795,3.0,351.2,4.688679245283018,19.0366,6.812180374406737
0.1522567911711856,0.1516928312342443,0.2352530196991707,0.4509999999999999,5.715999999999999,0.351698061335287,8.8,409.4,0.7605321507760533,9.32572,1.2035736751032147
0.473610453735059,0.0355516957288545,0.3964471941962267,0.9,27.132000000000005,0.2684198798030425,4.0,337.4,0.8366666666666667,9.18884,2.49701486756683
0.1696753318728095,0.1117615376996618,0.0814802117764909,0.616,7.805,0.3975543184721029,6.8,113.2,0.2126623376623376,8.774339999999999,1.6886832180149511
0.152487942297481,0.1567758034642319,0.2893135419684957,0.418,5.0569999999999995,0.2989221579958583,9.6,477.4,0.7966507177033492,11.3225,1.4444461174452585
0.3550483591609665,0.1873173037528467,0.041552433204679,0.5900000000000001,4.227000000000001,0.2006659214246732,4.2,31.4,0.1084745762711864,9.5659,2.66850551549061
0.4414667439583788,0.0580247693914592,0.7983778177154632,0.8280000000000001,15.984999999999996,0.3268939560966019,6.0,928.0,1.5265700483091786,13.67262,2.215530565246331
0.4698722425497232,0.1307584517244166,0.0776100294903133,0.716,6.5760000000000005,0.2077729132777276,4.0,57.4,0.1843575418994413,9.36996,2.5426299437137283
0.4555299333287165,0.0953124467980191,0.2431554549236842,0.7899999999999999,9.282999999999998,0.2089965620515507,4.0,191.4,0.5683544303797469,9.58246,2.254680656878769
0.1099851026878876,0.1055304036683515,0.5149634557556108,0.182,4.005999999999999,0.1015445004531378,10.0,651.8,1.708791208791209,16.2451,4.014125330481594
0.0975960180948661,0.0846865798018931,0.0140327837610239,0.571,10.297,0.4000931981333954,9.4,32.0,0.0560420315236427,8.82912,1.8894160141820415
0.1685517381446821,0.1589761637379226,0.592131053648909,0.2239999999999999,3.859,0.1329384710129454,12.0,880.8,1.8794642857142856,17.44652,4.270675819712046
0.0957389906370025,0.1687263753169404,0.7614784217010864,0.041,0.3669999999999999,-0.1347352148294044,1.4,79.8,6.024390243902438,12.54828,7.845201106738312
0.0692181332243497,0.1432098463609762,0.4280146037441991,0.0539999999999999,0.6210000000000001,0.0194978490009069,3.2,152.4,2.6481481481481484,13.68216,5.0676659007767135
0.3087580131067661,0.1663763862932887,0.3675273901468774,0.563,4.958,0.3233709372097027,5.6,380.2,0.9467140319715808,10.17878,1.2863074940106778
0.1588069397029509,0.0923772679925177,0.7991458679340431,0.075,0.9,-0.0468876922499054,3.0,177.8,5.386666666666667,15.489399999999998,7.0093557500444295
0.3793957553940978,0.1769053299544089,0.5619980164153745,0.537,4.638,0.2571824122341584,5.4,567.2,1.325884543761639,11.60006,1.7205712021963462
0.1499781795745557,0.0730095150608766,0.3333433669551726,0.666,13.053999999999998,0.3489083388675339,9.4,642.8,0.8288288288288288,11.355,0.5860485117363787
0.2780278840998623,0.1353536430350787,0.524806876353824,0.589,6.236,0.3377384659430304,6.4,655.8,1.305602716468591,11.96916,1.2516612578196211
0.3682803537250099,0.0837159573299426,0.7104943102820057,0.732,10.905999999999995,0.3236505099223833,6.2,864.4,1.5259562841530054,13.52422,1.9162674372147588
0.4999309493176999,0.1670124230425291,0.3510078725514283,0.664,5.343999999999999,0.1822041972232897,4.0,271.2,0.9382530120481928,10.1682,2.2859728925093026
0.0580221651674688,0.0414509605674905,0.2625113673084606,0.579,22.378,0.2138319880528611,25.8,1090.0,0.5958549222797928,15.0094,5.130404463961802
0.3539817999849995,0.0343571639047801,0.0668927596870824,0.89,28.621,0.2759338958149023,4.2,60.0,0.146067415730337,9.1117,2.939067375657595
0.3645244071890206,0.190756066941254,0.5702497946268287,0.4899999999999999,4.181,0.2939482960089412,5.4,599.8,1.5938775510204082,10.78402,1.7164558099822456
0.4993998599400484,0.1928641696470008,0.491401100499781,0.591,4.302,0.1228011788559944,3.6,374.6,1.269035532994924,8.840660000000002,2.7803191525259603
0.2049272127039135,0.0598096973637743,0.7593864247742698,0.342,7.803,0.0918233039893407,8.8,664.0,2.0964912280701755,16.327139999999996,3.842984857568369
0.2996636136263371,0.0852059649154016,0.5480923651926685,0.727,10.96,0.3381632425209692,6.2,655.2,1.237964236588721,11.44672,1.0522632431515293
0.3207813439556548,0.0790239556610101,0.3388765447683377,0.781,11.733999999999998,0.3278554640974618,5.0,356.4,0.7656850192061458,9.2291,1.341166188317816
0.4463399077727261,0.0839641908357601,0.7281597232699649,0.76,11.036,0.3012235050907405,5.0,763.4,1.561842105263158,13.03442,1.8864094526442674
0.302833398579849,0.1647250940681315,0.7376025617532456,0.44,5.138,0.2206557605691435,9.8,1065.8,1.852272727272727,16.810579999999998,3.556235510098536
0.2626426440731759,0.12708728519324,0.6170677729712195,0.5660000000000001,6.766000000000001,0.3243843954435074,7.4,847.8,1.439929328621908,13.984039999999998,1.959514808479716
0.3429330601566219,0.0809534714241383,0.7825024151405451,0.716,11.099,0.3283198065273484,7.0,1035.4,1.5726256983240223,15.94942,2.7780018301383285
0.3598414426282887,0.089729173903451,0.6574245105666938,0.7550000000000001,10.408999999999995,0.3163009143428105,5.8,767.0,1.4357615894039732,11.94378,1.5056532282026114
0.0550635386300484,0.1198422201749304,0.3466530603605102,0.063,0.782,0.029668332484599,6.0,150.2,1.8730158730158732,13.85078,4.620117783410096
0.2149143006706202,0.1979457765127786,0.573239188542585,0.237,2.916,0.1654729872450508,8.2,733.4,1.9662447257383964,15.91908,3.6462817235468115
0.0919227673047375,0.0371407337106059,0.4673045102125119,0.5429999999999999,20.94,0.1691002272401918,19.6,1200.6,0.952117863720074,15.72332,4.4055542205763425
0.4377797213679609,0.1632090080146344,0.6102111034234534,0.5969999999999999,4.9479999999999995,0.2363236886063758,4.8,599.0,1.6348408710217757,11.509719999999998,1.9575870351898204
0.4124927029757346,0.0997049356461313,0.5071058257615809,0.728,8.774999999999999,0.2492526736320748,4.4,482.8,1.2156593406593408,11.23042,1.681256882410581
0.4459876435407384,0.1189310699753523,0.7800967943881212,0.671,7.421000000000001,0.2735251710476327,5.4,854.6,1.6616989567809235,14.20978,2.32433069471399
0.1078427267048062,0.1333913958868284,0.4607055393056447,0.119,2.539,0.0539294906113676,15.0,506.2,2.058823529411765,14.98604,4.55423417246144
0.446444348909945,0.0567377511022223,0.5400209049267617,0.8469999999999999,16.705,0.2718827910768723,4.6,533.4,1.210153482880756,9.99124,1.726288872092348
0.2637529403298701,0.0457963365956055,0.482988293389338,0.8400000000000001,19.836,0.4079057997079675,6.6,665.8,1.0369047619047616,11.24304,1.4082626130257019
