beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,s_var_degree,n_draws_attempted
0.25061984679759,0.070198680698563,0.439252126122202,0.6728330551652992,0.731,12.96,0.4016682052956074,6.8,582.8,0.9384404924760602,10.411840000000002,10000
0.2278929590136362,0.0981721332680237,0.3635454320615492,0.5958833528497104,0.6629999999999999,9.139,0.3637914625008457,6.8,488.0,0.8491704374057315,9.88674,10000
0.1876127872516882,0.1208461839341586,0.3957021965516728,0.8694789114848402,0.5519999999999999,6.793000000000001,0.337160920593991,8.0,607.2,1.0271739130434785,11.16834,10000
0.2534233933441753,0.102414985035928,0.3985922366446043,0.8871796947664611,0.6699999999999999,8.607,0.3275029860225739,6.0,508.8,0.9626865671641792,10.82588,10000
0.1296834742730331,0.1023872169257815,0.2317029742797111,0.6986304145078354,0.561,9.090999999999998,0.3578911720190393,10.0,453.6,0.6434937611408199,9.67438,10000
0.1922826517452927,0.1231443867855356,0.38436354900082,0.5927828005942077,0.592,7.613,0.3905034124220375,8.2,619.4,0.9172297297297296,10.71146,10000
0.2250174412254315,0.0882774038149742,0.2745512052249608,0.9624700712713806,0.7310000000000001,10.346,0.410961258191313,6.6,365.6,0.707250341997264,9.3582,10000
0.269668893819512,0.0847362230220507,0.3774990030102509,0.8598677108443168,0.753,11.060999999999998,0.3752855683106613,6.0,444.4,0.8618857901726429,10.59344,10000
0.2760189047004859,0.0710364539206828,0.4318498828430862,0.8961339839156546,0.757,12.776,0.3545792519431298,5.8,527.4,0.9590488771466312,10.53558,10000
0.1226344313132795,0.0862398889232345,0.1971954629674108,0.814806886388998,0.632,10.366,0.3732687935646241,10.4,391.8,0.490506329113924,9.17362,10000
0.1965032843045118,0.1007411058875902,0.4176170089730829,0.9042085666135676,0.6050000000000001,8.648,0.3631006101605898,8.2,655.4,1.049586776859504,12.17082,10000
0.2400634968305908,0.0604267333309499,0.4802927485774386,0.9547323852769384,0.775,15.906,0.3648418307676268,7.2,673.8,1.0490322580645162,11.00028,10000
0.2463565918130058,0.1388047895291795,0.3601821779668864,0.9245063125724564,0.558,6.0280000000000005,0.3674716661597262,6.6,452.8,0.8870967741935483,10.70414,10000
0.1925962617405681,0.1220055833328197,0.3762850136768917,0.8893189727403037,0.5519999999999999,7.175999999999999,0.3246585347087406,8.8,618.0,0.9583333333333334,11.32316,10000
0.2478805223897342,0.0826961212061948,0.3664069107440914,0.8621605218170287,0.764,11.977999999999998,0.3779922008418407,6.0,466.8,0.8861256544502617,10.4537,10000
0.1521400614540109,0.1388808190107501,0.2841014317594983,0.9745210245549464,0.487,5.842999999999999,0.3666241436664913,8.8,465.0,0.7679671457905545,9.70138,10000
0.1403187564317662,0.0838137236040013,0.3719524975882631,0.7951793490968628,0.6239999999999999,10.991999999999996,0.3406760954610193,10.0,739.0,0.9102564102564104,10.86378,10000
0.1507229970108277,0.058909650331811,0.3360037900848895,0.6458320568615485,0.741,15.412,0.3870907274564992,9.0,642.0,0.7786774628879893,10.79574,10000
0.2060957153110426,0.1148468832550368,0.3365847346276316,0.6632940725181902,0.622,7.706999999999999,0.3526751490752214,7.0,470.4,0.8569131832797426,10.44442,10000
0.1827563574421016,0.0762393741755077,0.4004273978159007,0.5178049021438879,0.696,11.631,0.3764668761730833,8.4,664.8,0.9669540229885056,10.91178,10000
0.1900157786134267,0.1261386724583346,0.3179695665028948,0.7035310207966721,0.5710000000000001,6.833000000000001,0.3636044014547226,7.6,465.4,0.8423817863397547,10.2725,10000
0.2256243207753616,0.0677667304870998,0.433575610728544,0.8416965454372725,0.771,13.898,0.3986804954824942,7.0,641.8,1.0077821011673151,10.79892,10000
0.1379430601087262,0.1352453870881079,0.2515046138255283,0.9031123653292156,0.512,6.543000000000001,0.3450299587378804,9.4,448.0,0.6816406249999999,10.00236,10000
0.3116769972791958,0.0816476425806081,0.5003948868763053,0.93907995577,0.758,11.241,0.3633014750513926,6.0,591.2,1.0277044854881268,11.3369,10000
0.1048530624317652,0.0694515329445888,0.2528414285231841,0.888346393306726,0.6129999999999999,12.596,0.3247038382489279,11.6,617.8,0.6851549755301796,10.0293,10000
0.1170729628554137,0.0761043877390671,0.1963635368141887,0.7524103886278587,0.647,12.265999999999996,0.3623489936100185,9.4,397.4,0.5131375579598145,8.97914,10000
0.1498502001402546,0.125833337297277,0.2311546869128195,0.933277617970186,0.524,6.877000000000001,0.3492958140759671,8.2,378.8,0.6374045801526717,10.21594,10000
0.2475828424016853,0.1512451231661212,0.3971443344390822,0.9623820041441008,0.565,5.651000000000001,0.3579788525451796,6.6,506.8,1.033628318584071,9.6675,10000
0.1643990896055079,0.0579888972508588,0.3014014147710986,0.6202251652134082,0.7350000000000001,15.887999999999996,0.4053739712807629,8.6,512.2,0.7088435374149659,10.28336,10000
