beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,s_var_degree,n_draws_attempted
0.22789295901363624,0.09817213326802379,0.36354543206154927,0.5958833528497104,0.6629999999999999,9.139,0.3637914625008457,6.8,488.0,0.8491704374057315,9.886740000000001,50000
0.19228265174529274,0.12314438678553569,0.38436354900082004,0.5927828005942077,0.592,7.6129999999999995,0.3905034124220375,8.2,619.4,0.9172297297297297,10.711459999999999,50000
0.18275635744210164,0.07623937417550779,0.4004273978159007,0.5178049021438879,0.696,11.631,0.3764668761730833,8.4,664.8,0.9669540229885057,10.91178,50000
0.16439908960550798,0.05798889725085888,0.3014014147710986,0.6202251652134082,0.7350000000000001,15.887999999999996,0.4053739712807629,8.6,512.2,0.7088435374149659,10.28336,50000
0.1628547516838854,0.11746012210515996,0.2786037389986009,0.6289822490159162,0.576,7.536000000000001,0.395270269558194,8.4,468.2,0.7447916666666667,9.813300000000002,50000
0.19507750800542273,0.09802710509446726,0.3162289533053113,0.5767836889494123,0.619,8.631,0.3589104293915895,7.0,491.4,0.7964458804523424,10.25658,50000
0.21575905345673888,0.08562765529212667,0.3593552672322206,0.5974428741862635,0.707,10.919999999999998,0.37207652085196574,6.8,522.8,0.8712871287128713,9.665539999999998,50000
0.20943664397162726,0.08957207171299586,0.30295383351666133,0.6190254534173738,0.707,10.564999999999998,0.39154187248990235,7.0,429.8,0.743988684582744,10.3201,50000
0.1561834735327596,0.10269335989572952,0.32657793946510083,0.5265499063256648,0.5890000000000001,8.823,0.34191781912152286,8.4,576.2,0.864176570458404,10.683200000000001,50000
0.14777917358607476,0.07547047526019089,0.31557898869440354,0.5260780957405067,0.706,12.824999999999998,0.37401340420303403,9.0,598.8,0.7932011331444759,11.489240000000002,50000
0.15307004501823662,0.108782854418193,0.2520479593705473,0.6189897763664777,0.5890000000000001,8.169,0.35811192793362084,7.8,437.2,0.6468590831918506,10.32484,50000
0.22340510357480917,0.10043904723055368,0.4259385104618962,0.5922332303950333,0.657,9.302,0.3519939392553404,7.4,633.8,1.025875190258752,10.13858,50000
0.2270802153903774,0.10002491212641502,0.418515273970242,0.44906561059059413,0.667,9.291999999999998,0.381511154457546,8.0,584.2,0.9190404797601198,11.090039999999998,50000
0.22545143672371878,0.09415775970424695,0.4513281209174082,0.630334876728013,0.653,9.944999999999997,0.37816353660476876,6.8,618.2,1.0290964777947933,10.70594,50000
0.16624607733935684,0.09457611906496675,0.2416806685757897,0.6186918248372536,0.623,9.437,0.38147968011240235,8.4,391.0,0.5922953451043339,9.67928,50000
0.24235252032944413,0.08951869105954621,0.41055422525995544,0.6093951854212295,0.6889999999999998,9.843999999999998,0.39702757269708283,6.6,532.0,0.8809869375907116,10.36364,50000
0.1530193106881529,0.08181263971894677,0.3145000247794625,0.2111722890290503,0.629,11.501999999999999,0.3866626011825663,8.8,566.4,0.8330683624801272,10.585439999999998,50000
