beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,n_draws_attempted
0.20473136087594726,0.10601220001832094,0.4816755304460494,0.4588207274757958,0.607,8.547999999999998,0.3417246376122782,9.0,10000
0.2522130419762876,0.10184638224372049,0.5354678101929735,0.3437796082057457,0.6239999999999999,9.091999999999999,0.3519769685648782,8.4,10000
0.24165686882172122,0.09664709351266541,0.4114969525083095,0.5462015238172354,0.693,9.934000000000001,0.3555807548382325,6.8,10000
0.25101414128425437,0.07182831002650675,0.5271858773988124,0.5609931937074151,0.736,12.777999999999999,0.37231377674957367,7.0,10000
0.17280345453563473,0.11255872819329309,0.40344258723936205,0.6063010541965111,0.554,7.8199999999999985,0.3501548724968123,9.0,10000
0.1825688561923909,0.09830089020517489,0.2913423584872889,0.3348232100789783,0.625,8.999,0.3833341408432745,8.0,10000
0.13768412613936096,0.10651173722771963,0.10062001833082848,0.4575063271167691,0.615,8.341999999999999,0.40225165238527544,8.0,10000
0.20998595787349322,0.09575325766697994,0.5111350178927253,0.2201238407271884,0.665,9.755999999999998,0.3586854086484821,8.6,10000
0.20352696147204782,0.08363673780559674,0.2841982566659782,0.4961528979073825,0.678,11.102999999999998,0.40256329218850817,7.0,10000
0.1266408358812737,0.07364590034944532,0.17523530229308693,0.3802132088220086,0.6759999999999999,13.306999999999999,0.41183231436568046,9.0,10000
0.19130802419309276,0.10939218572540052,0.26635991139359955,0.40452817069943997,0.634,8.177999999999999,0.37960592102606483,7.8,10000
0.24162033448746034,0.10873369933189114,0.41284156449545134,0.5736018139924653,0.65,8.191999999999998,0.36745700897110173,6.8,10000
0.1270169981932511,0.06263615087401345,0.2746639540559607,0.5674564578834734,0.671,14.794,0.34159223368476266,10.2,10000
0.2281505850152935,0.10044384664455423,0.5043501720035451,0.5526452792458445,0.607,8.587,0.3256160320811512,8.6,10000
0.2705097521494481,0.09717927613993707,0.67026371774883,0.4993213951313772,0.6439999999999999,8.969999999999999,0.3246500864350005,8.8,10000
0.17820610962515437,0.1267713787514596,0.18326457186679584,0.5719244445214909,0.5900000000000001,7.225999999999999,0.37505137347794737,7.6,10000
0.13670447403628566,0.08173667496457955,0.19876779773359507,0.08910735361089159,0.6519999999999999,11.6,0.3819350257343751,9.0,10000
0.22812422918584588,0.10984315279638804,0.3317504415138892,0.5774786324877123,0.625,7.746,0.383945879436917,7.0,10000
